,2019-2020,2020-2021,2021-2022
0,Lyon,Lyon,Lyon
1,23.0,14.722,21.0
2,"£120,000.00","£120,000.00","£120,000.00"
3,3,33,17
4,,3,5
5,,1,1
6,,584,207
7,,,
8,1,18,13
9,2,10,6
10,100%,64%,65%
11,1,14,6
12,43%,87%,100%
13,1,6,4
14,,,
15,67%,58%,65%
16,0,24%,6%
17,33%,18%,29%
