,2018-2019,2019-2020,2020-2021,2021-2022
0,Real Madrid,Sevilla,Tottenham,Tottenham
1,19.0,26.0,15.0,5.0
2,"€44,231.00","€60,607.00","€60,607.00","€61,346.00"
3,14,31,27,25
4,,2,,2
5,2,4,4,3
6,,1255,,958
7,,,1,
8,9,22,31,25
9,5,17,8,11
10,93%,94%,96%,88%
11,11,6,5,9
12,37%,82%,73%,66%
13,3,8,5,4
14,,,,
15,79%,58%,48%,60%
16,7%,29%,26%,12%
17,14%,13%,26%,28%
