,2018-2019,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
0,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad
1,6.5,6.5,6.5,9.0,6.5,8.0,9.0
2,"€67,885.00",€0.00,"€43,115.00","€43,077.00","€67,885.00","€67,885.00","€67,885.00"
3,37,22,38,35,37,33,22
4,13,6,2,12,10,11,9
5,2,1,6,6,11,8,3
6,243,250,1360,231,305,219,185
7,1,,,,,,
8,41,15,42,44,45,24,22
9,9,9,10,10,9,13,13
10,97%,73%,79%,89%,97%,91%,86%
11,1,9,8,4,2,3,3
12,97%,73%,100%,92%,56%,330%,58%
13,2,1,,3,4,1,
14,,,,,,,1
15,35%,50%,50%,37%,43%,52%,45%
16,30%,18%,18%,20%,22%,27%,23%
17,35%,32%,32%,43%,35%,21%,32%
