,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,8.0,23.778,18.0,30.0,17.0,33.0,25.0
2,91482.0,91482.0,91482.0,173077.0,173077.0,173077.0,173077.0
3,31.0,31.0,27.0,8.0,21.0,17.0,19.0
4,3.0,2.0,0.0,0.0,0.0,0.0,0.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,930.0,1391.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,43.0,43.0,23.0,7.0,33.0,15.0,11.0
9,7.0,9.0,11.0,3.0,3.0,9.0,9.0
10,100.0,100.0,85.0,75.0,100.0,88.0,89.0
11,3.0,12.166666666666666,13.0,24.0,14.0,8.0,11.0
12,1.0,1.0,12.0,1.0,5.0,3.0,2.0
13,1.0,1.0,0.0,1.0,5.0,3.0,2.0
14,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,55.0,39.0,48.0,50.0,48.0,53.0,68.0
16,13.0,26.0,22.0,25.0,19.0,35.0,16.0
17,32.0,35.0,30.0,25.0,33.0,12.0,16.0
