,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
0,PSG,Schalke 04,Schalke 04,Schalke 04,PSG,PSG,PSG,PSG,PSG
1,24.0,16.0,17.0,11.0,20.0,19.0,19.0,31.0,19.0
2,"$ 143,221","$ 49,292","$ 94,725","$ 94,725",$ 0,"$ 95,858","$ 141,391","$ 142,723","$ 143,221"
3,24,26,15,21,17,30,31,11,18
4,4,2,2,5,4,4,3,,2
5,2,6,1,5,1,5,8,4,1
6,267,1073,387,303,254,426,655,,274
7,,,,,,,,,
8,6,32,13,27,7,18,26,10,5
9,12,10,4,5,9,12,12,4,6
10,50%,96%,53%,90%,71%,63%,71%,64%,28%
11,17,1,7,4,5,14,10,10,16
12,63%,76%,44%,68%,89%,79%,82%,41%,47%
13,3,5,1,4,2,1,6,5,
14,,,1,1,,,,,
15,71%,54%,27%,38%,76%,80%,71%,73%,83%
16,13%,19%,27%,24%,18%,10%,13%,9%,0
17,17%,27%,47%,38%,6%,10%,16%,18%,17%
