,2018-2019,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
1,30.0,24.0,34.0,26.0,23.0,25.0,24.0,20.0,15.0
2,423077,164615,194442,275154,284750,287481,423077,423077,711538
3,35,32,33,35,33,31,33,36,36
4,,1,1,,,1,2,,2
5,1,1,3,3,3,4,1,5,
6,,2649,2486,,,2597,1241,,1599
7,,,,,,,,,
8,26,29,16,25,31,23,29,30,36
9,16,12,20,16,11,16,13,14,10
10,86,94,88,97,100,97,88,89,100
11,5,2,4,2,1,3,6,4,
12,92,84,87,92,87,82,87,95,95
13,10,11,6,5,9,8,10,9,10
14,,,,,,,,,
15,74,66,79,74,73,74,73,64,53
16,20,19,9,11,15,23,15,19,28
17,6,16,12,14,12,3,12,17,19
