,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,11.0,13.5,13.5,13.5,21.0,20.0
2,60577.0,178077.0,178077.0,178077.0,178077.0,178077.0
3,27.0,36.0,37.0,34.0,30.0,14.0
4,3.0,6.0,6.0,10.0,8.0,2.0
5,2.0,5.0,3.0,6.0,6.0,2.0
6,498.0,501.0,506.0,264.0,276.0,432.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,21.0,42.0,40.0,33.0,25.0,11.0
9,6.0,13.0,9.0,11.0,6.0,4.0
10,63.0,97.0,92.0,91.0,93.0,79.0
11,21.0,1.0,3.0,4.0,3.0,3.0
12,4.0,7.0,4.0,7.0,3.0,12.0
13,4.0,7.0,4.0,7.0,3.0,0.0
14,1.0,0.0,0.0,0.0,1.0,0.0
15,37.0,42.0,22.0,35.0,63.0,50.0
16,37.0,25.0,43.0,38.0,17.0,29.0
17,26.0,33.0,35.0,26.0,20.0,21.0
