,2020-2021,2021-2022
0,Espanyol,Espanyol
1,10.0,10.0
2,"GROSS P/W
(IN EUR)","€8,846.00"
3,32,31
4,6,2
5,3,
6,238,558
7,,
8,13,14
9,14,9
10,38%,23%
11,21,28
12,76%,82%
13,2,3
14,,1
15,59%,29%
16,22%,35%
17,19%,35%
