,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
0,Real Betis,Lyon,Lyon,Lyon,Lyon,Lyon,Lyon,Real Betis,Real Betis
1,11.0,15.0,1.5,7.0,22.0,14.0,17.0,11.0,11.0
2,"€132,692.00","€68,346.00","€69,000.00","€134,615.00","€132,692.00","€132,692.00","GROSS P/W
(IN EUR)","€132,692.00","€132,692.00"
3,34,11,34,9,32,30,29,32,33
4,6,1,13,4,9,18,9,7,5
5,8,2,9,1,4,7,7,4,5
6,466,547,212,117,245,138,221,377,525
7,,,,,,,,,
8,32,7,26,7,32,36,24,49,37
9,11,6,15,4,10,9,6,4,11
10,97%,55%,100%,56%,88%,93%,83%,97%,100%
11,2,5,,5,4,3,5,1,
12,89%,31%,89%,24%,86%,79%,76%,84%,87%
13,7,2,7,1,5,8,5,8,5
14,1,,,,1,,,2,1
15,50%,36%,65%,56%,59%,57%,48%,22%,45%
16,21%,36%,24%,22%,9%,23%,31%,28%,27%
17,29%,27%,12%,22%,31%,20%,21%,50%,27%
