,2018-2019,2020-2021,2016-2017,2017-2018,2019-2020,2021-2022
1,15.0,9.0,13.3,11.0,25.0,18.0
2,99615.0,14250.0,14250.0,10769.0,99808.0,99808.0
3,24.0,33.0,3.0,4.0,25.0,31.0
4,1.0,0.0,0.0,0.0,2.0,1.0
5,2.5,3.0,2.5,2.5,2.5,2.0
6,1689.0,0.0,0.0,0.0,961.0,2312.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,31.0,26.0,1.0,1.0,23.0,18.0
9,7.0,14.0,1.0,1.0,7.0,14.0
10,75.0,100.0,33.0,77.2,84.0,94.0
11,15.0,3.0,19.0,21.0,15.0,3.0
12,2.0,6.0,12.0,12.0,8.0,4.0
13,2.0,6.0,0.0,0.0,8.0,4.0
14,0.0,0.0,0.0,0.0,1.0,0.0
15,29.0,76.0,33.0,75.0,56.0,71.0
16,33.0,18.0,33.0,0.0,32.0,23.0
17,38.0,6.0,33.0,25.0,12.0,6.0
