,2015-2016,2016-2017,2017-2018,2021-2022
1,14.0,18.0,14.222,10.0
2,25577.0,25577.0,25577.0,25577.0
3,19.0,18.0,8.0,20.0
4,0.0,0.0,2.0,3.0
5,2.0,2.0,2.0,2.0
6,0.0,0.0,347.0,565.0
7,0.0,0.0,0.0,1.0
8,17.0,15.0,5.0,24.0
9,6.0,3.0,4.0,5.0
10,58.0,67.0,100.0,95.0
11,22.0,11.0,2.0,2.0
12,5.0,4.0,12.0,4.0
13,5.0,4.0,0.0,4.0
14,0.0,0.0,0.0,0.0
15,63.0,22.0,88.0,75.0
16,11.0,22.0,0.0,10.0
17,26.0,56.0,13.0,15.0
