,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Sevilla,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Sevilla,Sevilla
1,22.0,34.0,26.0,23.0,25.0,30.0,24.0,19.0,12.0
2,"€203,827.00","€245,788.00","€254,385.00","€256,808.00","€253,846.00","€253,846.00","€253,846.00","€253,846.00","€253,846.00"
3,34,32,36,32,35,34,31,37,35
4,12,5,7,8,1,3,1,4,4
5,11,7,2,5,5,5,3,2,6
6,226,406,367,293,2832,881,1580,559,546
7,,,1,,,,,,
8,44,13,18,24,22,25,14,21,20
9,9,19,16,11,19,15,14,16,15
10,85%,72%,83%,81%,89%,85%,52%,68%,74%
11,5,11,7,10,5,5,20,12,10
12,89%,84%,95%,84%,92%,89%,82%,97%,92%
13,6,1,3,5,4,6,5,4,4
14,,,,,,1,,,
15,50%,81%,75%,78%,77%,74%,65%,62%,43%
16,21%,9%,11%,16%,20%,21%,19%,14%,46%
17,29%,9%,14%,6%,3%,6%,16%,24%,11%
