,2019-2020,2020-2021,2021-2022
0,Roma,Roma,Roma
1,11.0,24.0,23.0
2,"€49,231.00","€49,231.00","€80,192.00"
3,14,22,19
4,1,2,1
5,3,1,
6,566,396,465
7,,,
8,11,17,2
9,2,7,3
10,36%,27%,16%
11,12,26,32
12,82%,58%,50%
13,2,,2
14,,,
15,57%,55%,26%
16,7%,9%,26%
17,36%,36%,47%
