,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Reims,Reims,Reims,Real Betis,Real Betis,Real Betis,Real Betis,Real Betis,Villarreal
1,2.0,2.0,2.0,11.0,11.0,10.0,11.0,11.0,24.0
2,"€13,192.00","€13,942.00","€18,635.00","€23,269.00","€18,269.00","€92,115.00","GROSS P/W
(IN EUR)","€92,115.00","€92,115.00"
3,33,32,32,26,34,35,29,28,17
4,,6,5,2,1,1,,3,1
5,3,1,1,1,,1,,1,
6,,467,572,1111,3024,3059,,797,1375
7,2,,,,,,,,1
8,41,57,49,50,49,46,35,31,15
9,9,7,3,6,13,11,6,10,6
10,100%,100%,100%,96%,100%,97%,100%,96%,82%
11,,2,,4,2,2,6,6,22
12,87%,84%,84%,68%,89%,92%,76%,74%,45%
13,2,3,3,4,9,10,8,5,3
14,1,,1,,1,,,2,
15,33%,34%,28%,23%,50%,37%,28%,43%,53%
16,30%,19%,28%,23%,15%,23%,38%,29%,29%
17,36%,47%,44%,54%,35%,40%,34%,29%,18%
