,2019-2020,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
0,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United
1,22.0,23.0,20.556,13.0,26.0,20.0,19.0,26.0,18.0
2,"£375,000.00","£70,000.00","£200,000.00","£200,000.00","£200,000.00","£200,000.00","£375,000.00","£375,000.00","£375,000.00"
3,38,37,37,34,35,37,38,26,38
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,1,,,,,
8,36,43,36,33,29,28,54,32,57
9,13,12,10,15,14,18,7,9,8
10,100%,100%,100%,100%,100%,100%,100%,100%,100%
11,,,,,,,,7,
12,100%,97%,97%,89%,92%,97%,100%,68%,100%
13,2,1,,,2,,1,,
14,,,,,,,,,
15,47%,49%,54%,50%,46%,65%,50%,46%,42%
16,32%,19%,24%,24%,40%,16%,24%,35%,26%
17,21%,32%,22%,26%,14%,19%,26%,19%,32%
