,2018-2019,2020-2021,2016-2017,2017-2018,2019-2020,2021-2022
1,5.0,17.0,16.6,17.0,27.0,17.0
2,76923.0,38462.0,38462.0,76923.0,76923.0,76923.0
3,31.0,27.0,29.0,30.0,22.0,25.0
4,15.0,5.0,5.0,4.0,5.0,5.0
5,5.0,4.0,4.0,2.0,7.0,4.4
6,163.0,271.0,411.0,416.0,244.0,216.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,24.0,15.0,21.0,30.0,16.0,7.0
9,14.0,13.0,10.0,5.0,6.0,10.0
10,87.0,52.0,86.0,60.0,55.0,48.0
11,4.0,16.0,4.0,15.0,12.0,14.0
12,3.0,1.0,4.0,1.0,2.0,2.0
13,3.0,1.0,4.0,1.0,2.0,2.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,55.0,56.0,62.0,43.0,45.0,60.0
16,26.0,30.0,21.0,23.0,41.0,20.0
17,19.0,15.0,17.0,33.0,14.0,20.0
