,2020-2021,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
0,Real Sociedad,Borussia Dortmund,Newcastle,Real Sociedad,Real Sociedad,Real Sociedad
1,8.0,22.0,15.0,6.5,6.5,9.0
2,"€75,192.00","€44,615.00","€75,192.00","€75,192.00","GROSS P/W
(IN EUR)","€75,192.00"
3,26,8,24,29,36,34
4,2,,1,3,5,4
5,4,,1,3,1,1
6,1077,,1347,685,628,723
7,,,,,,
8,22,4,18,29,43,24
9,11,2,5,7,9,19
10,96%,25%,58%,83%,97%,97%
11,2,13,17,6,1,1
12,260%,24%,63%,76%,55%,89%
13,5,1,4,9,9,8
14,,,,1,,
15,42%,38%,21%,38%,44%,50%
16,31%,38%,29%,24%,22%,29%
17,27%,25%,50%,38%,33%,21%
