,2020-2021,2018-2019,2019-2020,2021-2022
0,Arsenal,Arsenal,Arsenal,Arsenal
1,23.0,26.0,10.0,18.889
2,"GROSS P/W
(IN GBP)","£70,000.00","£70,000.00","£70,000.00"
3,32,1,26,38
4,5,,1,11
5,3,,5,7
6,511,,1752,271
7,1,,,
8,31,,18,39
9,9,,8,13
10,94%,,73%,95%
11,6,3,13,2
12,84%,4%,68%,100%
13,1,,6,6
14,,,,
15,47%,100%,35%,58%
16,19%,0,38%,8%
17,34%,0,27%,34%
