,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
0,Malaga,Villarreal,Villarreal,Villarreal,AC Milan,AC Milan,AC Milan
1,22.0,23.0,9.0,8.0,7.0,11.833,12.0
2,"€44,462.00","€53,423.00","€53,462.00","€53,462.00","€53,462.00","€48,077.00","€48,077.00"
3,34,27,33,30,31,22,28
4,1,1,2,6,4,2,1
5,4,1,3,5,2,3,
6,2371,1678,1025,344,256,605,1093
7,,,,,,,
8,31,18,19,27,11,13,13
9,9,12,15,10,9,8,10
10,82%,70%,73%,83%,26%,73%,43%
11,8,15,10,6,30,13,24
12,89%,71%,87%,79%,82%,58%,74%
13,4,3,2,4,3,3,4
14,,,,,,1,
15,35%,44%,45%,57%,52%,50%,57%
16,24%,30%,30%,17%,29%,23%,21%
17,41%,26%,24%,27%,19%,27%,21%
