,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
0,Villarreal,Villarreal,Villarreal,Espanyol,Espanyol,Espanyol,Villarreal,Villarreal,Villarreal
1,24.0,17.429,12.0,10.0,10.0,10.0,16.0,17.429,30.0
2,"€144,231.00","€68,462.00","€103,654.00","€103,654.00","€144,231.00","€144,231.00","€144,231.00","€144,231.00","€144,231.00"
3,17,33,26,32,37,38,35,35,33
4,9,11,7,7,13,16,8,18,23
5,3,1,2,3,4,1,1,7,7
6,132,212,231,261,252,213,290,153,116
7,,,,,,,,,
8,14,31,19,46,47,42,32,38,34
9,5,10,12,7,11,12,10,12,8
10,82%,79%,73%,59%,100%,100%,71%,94%,91%
11,5,7,15,14,,,11,2,3
12,45%,79%,68%,84%,97%,100%,92%,92%,87%
13,2,,2,4,6,5,3,4,3
14,,,,1,,,,,
15,35%,33%,42%,34%,41%,32%,26%,49%,42%
16,29%,27%,35%,19%,30%,34%,37%,17%,27%
17,35%,39%,23%,47%,30%,34%,37%,34%,30%
