,2021-2022,2018-2019,2019-2020,2020-2021
1,9.0,6.5,6.5,8.0
2,19038,19038,19038,19038
3,21,17,15,16
4,,,,
5,,,,1
6,,,,
7,,,,
8,18,14,14,13
9,12,5,4,5
10,71,88,73,88
11,16,2,18,13
12,55,45,23,160
13,3,2,1,6
14,1,,,
15,57,29,40,31
16,19,29,27,50
17,24,41,33,19
