,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Real Betis
1,18.0,20.0,15.0,19.0,21.0,26.0,10.0,23.0,11.0
2,"€13,722.00","€51,459.00","€51,459.00","€125,788.00","€125,788.00","€125,788.00","€125,788.00","€128,269.00","€128,269.00"
3,,20,36,32,35,19,15,25,23
4,,2,1,1,2,,1,1,
5,,1,5,4,3,5,,2,2
6,,783,3240,2501,1526,,1158,2089,
7,,,,,,1,,,1
8,,15,33,33,44,20,18,24,23
9,,8,18,12,12,4,6,9,9
10,,85%,100%,84%,97%,95%,87%,96%,96%
11,,13,,7,1,1,7,10,6
12,0%,53%,95%,84%,92%,50%,39%,66%,66%
13,,5,3,4,5,3,2,8,2
14,,,,,,,,,1
15,,65%,56%,59%,51%,58%,40%,44%,57%
16,,20%,28%,16%,17%,21%,27%,16%,17%
17,,15%,17%,25%,31%,21%,33%,40%,26%
