,2021-2022,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,17.0,16.6,17.0,5.0,27.0,17.0
2,57692.0,57692.0,57692.0,57692.0,57692.0,57692.0
3,8.0,30.0,15.0,28.0,29.0,24.0
4,1.0,0.0,2.0,3.0,3.0,2.0
5,2.8,1.0,2.0,5.0,3.0,3.0
6,508.0,0.0,589.0,805.0,840.0,826.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,6.0,31.0,21.0,18.0,28.0,19.0
9,3.0,9.0,2.0,15.0,9.0,12.0
10,63.0,100.0,93.0,96.0,97.0,79.0
11,5.0,2.0,2.0,3.0,2.0,8.0
12,12.0,4.0,3.0,2.0,5.0,2.0
13,0.0,4.0,3.0,2.0,5.0,2.0
14,0.0,0.0,0.0,0.0,1.0,0.0
15,63.0,60.0,47.0,57.0,48.0,63.0
16,13.0,20.0,20.0,29.0,38.0,17.0
17,25.0,20.0,33.0,14.0,14.0,21.0
