,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,4.0,4.0,4.0,13.5,13.5,16.0
2,12462.0,28462.0,31346.0,32115.0,19231.0,19231.0
3,22.0,24.0,35.0,34.0,19.0,34.0
4,0.0,0.0,2.0,0.0,2.0,1.0
5,3.0,1.0,5.0,2.0,1.0,2.0
6,0.0,0.0,1488.0,0.0,776.0,1769.0
7,0.0,0.0,2.0,0.0,0.0,0.0
8,28.0,37.0,53.0,36.0,24.0,18.0
9,3.0,6.0,12.0,11.0,3.0,15.0
10,77.0,92.0,91.0,85.0,89.0,56.0
11,15.0,8.0,6.0,8.0,2.0,16.0
12,3.0,1.0,2.0,4.0,3.0,1.0
13,3.0,1.0,2.0,4.0,3.0,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,41.0,21.0,26.0,29.0,32.0,56.0
16,14.0,38.0,40.0,35.0,37.0,18.0
17,45.0,42.0,34.0,35.0,32.0,26.0
