,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Heerenveen,Heerenveen,Twente,Ajax,Ajax,Ajax,Ajax,Chelsea,Chelsea
1,1.5,1.5,2.75,22.0,1.5,27.0,13.0,33.0,25.0
2,"£14,900.00","£15,724.00","£30,607.00","£30,607.00","£100,000.00","£100,000.00","£100,000.00","£100,000.00","£100,000.00"
3,31,31,33,28,34,29,21,23,23
4,9,11,17,7,9,16,6,2,4
5,9,14,10,11,15,13,13,3,3
6,257,247,174,342,338,150,268,586,330
7,,,,,,,,,
8,41,42,64,16,32,24,15,7,12
9,4,6,6,13,12,14,6,12,12
10,87%,100%,100%,100%,100%,100%,100%,65%,61%
11,4,,,2,,2,,13,22
12,91%,97%,97%,93%,100%,85%,84%,61%,61%
13,7,3,6,2,4,2,1,3,3
14,,,,,,,,,
15,45%,42%,33%,75%,74%,79%,76%,43%,57%
16,26%,26%,21%,18%,12%,7%,10%,35%,22%
17,29%,32%,45%,7%,15%,14%,14%,22%,22%
