,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
0,Tottenham,Tottenham,Tottenham,Tottenham,Tottenham,Tottenham,Tottenham,Tottenham,Tottenham
1,5.0,15.0,9.0,12.0,10.0,21.0,26.0,16.0,15.0
2,"£100,000.00","£80,000.00","£100,000.00","£100,000.00","£100,000.00","£100,000.00","£100,000.00","£100,000.00","GROSS P/W
(IN GBP)"
3,38,37,35,37,34,36,33,21,38
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,40,50,48,34,24,35,33,21,45
9,16,14,8,13,15,15,12,6,12
10,100%,100%,100%,100%,100%,100%,100%,100%,100%
11,,,,1,,,,,
12,100%,97%,92%,97%,89%,95%,87%,55%,100%
13,2,2,,,,1,,,
14,,,,,,,,,
15,58%,57%,51%,51%,71%,61%,64%,52%,47%
16,13%,16%,17%,35%,18%,19%,6%,29%,21%
17,29%,27%,31%,14%,12%,19%,30%,19%,32%
