,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Valencia,Valencia,Valencia,Valencia,Valencia,Valencia,Valencia,Valencia,Valencia
1,22.0,19.0,14.0,19.0,19.0,23.0,17.0,19.0,19.0
2,"€63,250.00","€67,308.00","€67,308.00","€67,308.00","GROSS P/W
(IN EUR)","€112,115.00","€112,115.00","€112,115.00","€112,115.00"
3,1,35,20,27,34,35,24,33,24
4,,1,,1,,1,,1,2
5,,6,,2,3,1,1,8,4
6,,2920,,2090,,3137,,2847,937
7,,1,,,,,,,
8,1,27,19,37,32,30,33,47,32
9,,12,4,5,11,12,5,5,7
10,100%,91%,75%,89%,97%,100%,96%,97%,92%
11,,3,6,4,3,,2,2,2
12,4%,92%,53%,71%,89%,92%,63%,87%,63%
13,,10,6,4,10,10,5,5,6
14,,,1,,,,,,2
15,0,60%,35%,37%,62%,40%,33%,30%,29%
16,0,26%,30%,15%,18%,43%,29%,30%,46%
17,100%,14%,35%,48%,21%,17%,38%,39%,25%
