,2018-2019,2016-2017,2017-2018,2019-2020,2021-2022
0,Benfica,Benfica,Benfica,Benfica,Celta Vigo
1,17.0,17.0,4.0,10.0,19.0
2,"€17,308.00","€20,308.00","€20,385.00","€48,077.00","€48,077.00"
3,20,26,31,23,33
4,4,2,3,2,4
5,2,1,8,1,3
6,257,706,790,803,451
7,,,,,
8,10,7,15,10,22
9,8,16,14,10,11
10,65%,62%,94%,83%,64%
11,20,16,5,8,14
12,59%,76%,91%,68%,87%
13,4,2,1,4,5
14,,,,,
15,80%,69%,74%,70%,33%
16,10%,23%,19%,17%,24%
17,10%,8%,6%,13%,42%
