,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Freiburg,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Monchengladbach,Monchengladbach,Monchengladbach,Monchengladbach,Monchengladbach
1,5.0,18.0,17.0,22.0,9.833,9.833,6.0,15.0,9.833
2,"€57,500.00","€59,615.00","€59,615.00","€59,615.00","GROSS P/W
(IN EUR)","€145,192.00","€145,192.00","€145,192.00","€145,192.00"
3,34,14,24,29,34,27,31,34,28
4,,,3,,5,2,1,2,1
5,,1,5,1,2,,1,1,
6,,,630,,612,1190,2780,1530,2337
7,,1,,,,,,,
8,60,12,19,34,52,37,35,56,49
9,5,6,10,8,7,9,7,7,5
10,100%,64%,88%,90%,100%,100%,100%,100%,96%
11,,22,12,7,,,,,4
12,100%,41%,71%,85%,100%,79%,91%,100%,82%
13,,1,,4,2,2,2,2,2
14,,,,,,,,,
15,26%,50%,71%,52%,38%,48%,58%,38%,39%
16,26%,14%,21%,31%,24%,19%,16%,29%,25%
17,47%,36%,8%,17%,38%,33%,26%,32%,36%
