,2020-2021,2018-2019,2019-2020,2021-2022
0,Getafe,Getafe,Getafe,Getafe
1,11.0,11.0,11.0,11.0
2,"€41,154.00","€41,154.00","€41,154.00","€41,154.00"
3,33,34,34,22
4,5,14,11,1
5,,5,3,
6,407,174,250,671
7,,,,
8,23,24,23,9
9,12,11,13,5
10,70%,79%,97%,18%
11,12,9,3,22
12,87%,89%,89%,58%
13,10,9,14,6
14,1,,,
15,24%,38%,35%,18%
16,27%,41%,35%,36%
17,48%,21%,29%,45%
