,2020-2021,2021-2022
0,Valencia,Valencia
1,19.0,19.0
2,"€28,846.00","€28,846.00"
3,32,29
4,1,1
5,,
6,1539,1256
7,,
8,25,17
9,5,8
10,53%,45%
11,20,21
12,84%,76%
13,3,5
14,,
15,19%,31%
16,41%,38%
17,41%,31%
