,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,10.0,27.0,28.0,29.0,22.0,10.0,18.0,18.0,10.0
2,67308.0,147250.0,189827.0,191654.0,192308.0,51346.0,51346.0,67308.0,67308.0
3,29.0,27.0,32.0,14.0,11.0,23.0,26.0,14.0,18.0
4,4.0,10.0,9.0,3.0,1.0,2.0,7.0,3.0,5.0
5,4.0,10.0,1.0,3.0,1.0,4.0,7.0,4.5,6.0
6,554.0,182.0,249.0,319.0,760.0,801.0,239.0,171.0,281.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,29.0,14.0,12.0,5.0,10.0,26.0,22.0,8.0,10.0
9,8.0,12.0,20.0,8.0,2.0,8.0,7.0,5.0,7.0
10,90.0,74.0,88.0,79.0,82.0,83.0,73.0,36.0,94.0
11,4.0,7.0,6.0,9.0,8.0,7.0,10.0,22.0,1.0
12,4.0,12.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0
13,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,72.0,81.0,72.0,93.0,27.0,30.0,65.0,43.0,67.0
16,10.0,11.0,13.0,7.0,55.0,39.0,19.0,29.0,28.0
17,17.0,7.0,16.0,0.0,18.0,30.0,15.0,29.0,6.0
