,2019-2020,2020-2021,2021-2022
0,Athletic Club,Athletic Club,Athletic Club
1,10.0,10.0,10.0
2,"€26,923.00","€26,923.00","€26,923.00"
3,17,24,27
4,1,2,6
5,1,2,4
6,758,518,237
7,,,
8,7,6,17
9,5,6,7
10,53%,46%,59%
11,12,27,11
12,45%,63%,71%
13,1,2,2
14,,,
15,53%,33%,33%
16,6%,29%,37%
17,41%,38%,30%
