,2020-2021,2017-2018,2018-2019,2019-2020,2021-2022
0,Villarreal,Tottenham,Tottenham,Tottenham,Villarreal
1,30.0,21.0,26.0,16.0,24.0
2,"€88,077.00","€88,077.00","GROSS P/W
(IN EUR)","€88,077.00","€88,077.00"
3,16,,12,4,25
4,,,1,,1
5,,,,,1
6,,,888,,1935
7,,,,,
8,21,,11,3,19
9,1,,4,,8
10,81%,,83%,25%,88%
11,10,16,13,10,8
12,48%,0%,32%,11%,66%
13,6,,3,1,5
14,,,1,,1
15,31%,,58%,25%,28%
16,31%,,0,75%,40%
17,38%,,42%,0,32%
