,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Valencia,Getafe,Getafe,Getafe,Getafe
1,19.0,11.0,11.0,11.0,11.0
2,"€23,077.00","€40,000.00","€40,000.00","GROSS P/W
(IN EUR)","€40,000.00"
3,15,36,35,35,35
4,,1,2,1,1
5,,,,1,2
6,,3209,1448,2737,2936
7,,,,,
8,8,33,31,32,37
9,3,12,15,12,13
10,40%,100%,94%,97%,97%
11,25,,2,1,2
12,39%,95%,92%,92%,92%
13,1,4,5,5,5
14,,,,,
15,80%,39%,40%,26%,20%
16,0,39%,31%,23%,37%
17,20%,22%,29%,51%,43%
