,2020-2021,2021-2022
0,Athletic Club,Athletic Club
1,10.0,10.0
2,"€4,615.00","€4,615.00"
3,28,34
4,,
5,,
6,,
7,,
8,18,26
9,8,12
10,68%,85%
11,17,5
12,280%,89%
13,6,4
14,,
15,32%,35%
16,32%,38%
17,36%,26%
