,2019-2020,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2,106923,35615,35577,64038,64038,106923,106923,106923,106923
3,31,29,32,29,21,31,35,30,33
4,14,16,15,7,5,4,8,17,15
5,11,4,10,4,9,2,4,7,14
6,178,136,178,309,347,574,360,146,188
7,,,,,,,,,
8,46,39,45,22,29,37,46,37,50
9,7,4,6,10,4,9,11,6,2
10,94,90,100,90,95,94,91,93,100
11,3,3,,3,1,2,4,2,
12,82,76,84,76,55,82,92,79,87
13,7,10,13,9,5,8,5,4,9
14,,1,1,1,,1,1,,
15,42,28,38,45,38,29,23,50,36
16,23,21,31,34,24,26,43,27,30
17,35,52,31,21,38,45,34,23,33
