,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Bordeaux,Bordeaux,Bordeaux,Getafe,Getafe,Getafe,Getafe
1,4.0,4.8,1.0,11.0,11.0,11.0,11.0
2,"€12,519.00","€12,519.00","€16,173.00","€17,308.00","€29,423.00","€29,423.00","€29,423.00"
3,5,4,27,33,35,34,31
4,,,1,1,1,3,
5,,1,2,2,1,1,5
6,,,2123,2678,3070,995,
7,,,,1,,,
8,8,2,25,25,33,35,27
9,,3,8,11,14,13,14
10,40%,,96%,97%,97%,97%,100%
11,6,18,1,3,1,3,
12,31%,11%,71%,87%,92%,89%,82%
13,1,,9,8,10,11,13
14,,,1,,1,,
15,0,75%,33%,36%,34%,26%,26%
16,20%,0,30%,39%,34%,29%,45%
17,80%,25%,37%,24%,31%,44%,29%
