,2019-2020,2021-2022,2013-2014,2014-2015,2018-2019,2020-2021
0,Levante,Levante,Villarreal,Villarreal,Levante,Levante
1,13.0,13.0,17.429,12.0,13.0,13.0
2,"€20,769.00",€0.00,"€2,673.00","€10,538.00","€10,577.00","€20,769.00"
3,36,13,,,16,29
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,51,29,,,24,44
9,5,2,,,2,3
10,100%,100%,,,100%,100%
11,2,22,,,21,7
12,95%,34%,,,42%,76%
13,2,1,,,,
14,,1,,,,
15,33%,8%,,,25%,28%
16,19%,38%,,,31%,38%
17,47%,54%,,,44%,34%
