,2020-2021,2013-2014,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
0,Arsenal,Real Betis,Real Betis,Real Betis,Real Madrid,Real Madrid,Arsenal,Real Madrid
1,23.0,12.0,11.0,11.0,32.0,19.0,10.0,30.0
2,"€54,231.00","€3,558.00","€21,346.00","€52,673.00","€57,038.00","€59,376.00","€59,376.00","€54,231.00"
3,24,1,34,30,12,23,24,11
4,,,,2,2,3,,
5,3,,2,2,,,2,
6,,,,1171,200,416,,
7,,,,,,,,
8,15,,33,40,6,13,21,2
9,7,,10,9,5,9,7,6
10,71%,,65%,80%,33%,57%,75%,18%
11,18,1,13,9,19,20,10,15
12,63%,3%,89%,79%,32%,61%,63%,29%
13,4,,10,6,,3,1,1
14,,,1,,,,,
15,38%,0,29%,23%,83%,61%,50%,82%
16,21%,0,29%,27%,0,9%,25%,18%
17,42%,100%,41%,50%,17%,30%,25%,0
