,2021-2022,2013-2014,2017-2018,2018-2019,2019-2020,2020-2021
1,9.0,10.0,19.0,19.0,19.0,10.0
2,39423.0,39615.0,49231.0,39423.0,39423.0,39423.0
3,22.0,30.0,38.0,31.0,14.0,15.0
4,1.0,3.0,0.0,0.0,0.0,0.0
5,1.0,1.0,1.0,1.0,1.0,1.0
6,1673.0,697.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,16.0,47.0,54.0,41.0,9.0,2.0
9,8.0,4.0,7.0,6.0,2.0,5.0
10,86.0,73.0,89.0,87.0,64.0,79.8
11,10.0,8.0,4.0,6.0,10.0,33.0
12,2.0,1.0,3.0,1.0,12.0,2.0
13,2.0,1.0,3.0,1.0,0.0,2.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,64.0,43.0,34.0,26.0,71.0,67.0
16,18.0,17.0,26.0,29.0,7.0,7.0
17,18.0,40.0,39.0,45.0,21.0,27.0
