,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,22.0,25.0,17.0,12.0,7.0
2,9148.0,140385.0,12308.0,36923.0,36923.0
3,5.0,9.0,5.0,27.0,31.0
4,0.0,1.0,0.0,4.0,4.0
5,3.0,2.0,3.0,3.0,4.0
6,0.0,375.0,0.0,307.0,465.0
7,0.0,0.0,0.0,0.0,0.0
8,1.0,4.0,0.0,8.0,15.0
9,2.0,2.0,4.0,12.0,15.0
10,64.33333333333333,56.0,64.33333333333333,56.0,81.0
11,10.0,7.0,16.0,19.0,10.0
12,12.0,12.0,12.0,1.0,4.0
13,0.0,0.0,0.0,1.0,4.0
14,0.0,0.0,0.0,0.0,0.0
15,80.0,56.0,80.0,63.0,61.0
16,20.0,11.0,0.0,19.0,26.0
17,0.0,33.0,20.0,19.0,13.0
