,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,20.556,13.0,26.0,20.0,19.0,31.0,24.0,19.0
2,131506,131506,131506,131506,131506,100,100,100,115385
3,33,26,26,31,26,22,8,31,19
4,5,6,3,1,,2,1,1,3
5,5,4,2,6,2,3,1,3,1
6,510,312,481,2465,,702,548,1852,363
7,,,,,,,,,
8,27,23,15,18,14,18,7,11,11
9,11,8,12,14,13,6,5,16,8
10,94,73,62,87,50,73,75,58,63
11,2,13,16,7,20,9,6,14,13
12,87,68,68,82,68,58,30,82,50
13,5,6,4,6,5,4,,6,2
14,,,,1,,,,,
15,55,58,54,45,65,59,75,74,84
16,30,15,23,42,15,27,13,13,11
17,15,27,23,13,19,14,13,13,5
