,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,13.3,12.0,7.0,11.833,12.0,7.0
2,78269.0,78269.0,173077.0,173077.0,173077.0,173077.0
3,30.0,37.0,34.0,35.0,37.0,31.0
4,6.0,5.0,7.0,4.0,13.0,6.0
5,3.0,3.0,2.0,1.0,4.0,2.6
6,370.0,653.0,431.0,726.0,248.0,385.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,31.0,40.0,32.0,37.0,39.0,21.0
9,12.0,11.0,11.0,11.0,14.0,15.0
10,83.0,100.0,100.0,94.0,97.0,81.0
11,6.0,3.6,1.0,4.0,1.0,6.0
12,6.0,9.0,8.0,3.0,8.0,2.0
13,6.0,9.0,8.0,3.0,8.0,2.0
14,2.0,0.0,0.0,0.0,0.0,0.0
15,57.0,46.0,53.0,54.0,62.0,68.0
16,20.0,27.0,29.0,23.0,19.0,23.0
17,23.0,27.0,18.0,23.0,19.0,10.0
