,2020-2021,2021-2022
0,Barcelona,Barcelona
1,20.0,15.0
2,"€4,231.00",€0.00
3,27,19
4,2,
5,2,1
6,951,
7,,
8,20,10
9,11,6
10,85%,47%
11,9,26
12,71%,50%
13,4,2
14,,
15,70%,47%
16,19%,32%
17,11%,21%
