,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,PSG,PSG,Lille,Lille,Lille,Lille,Lille,Lille,AC Milan
1,25.0,21.0,6.833,1.0,6.833,6.833,5.0,8.0,7.0
2,"€34,173.00","€34,500.00","€27,692.00","€27,692.00","€69,038.00","GROSS P/W
(IN EUR)","€69,038.00","€69,038.00","€69,038.00"
3,19,21,4,7,34,38,28,38,32
4,,,,,,,,,
5,,,,,,,,,1
6,,,,,,,,,
7,,,,,,,,,
8,19,26,3,7,53,33,27,23,21
9,7,7,1,3,5,15,12,21,17
10,100%,100%,75%,86%,100%,100%,100%,100%,100%
11,,,9,32,2,,,,
12,68%,70%,11%,18%,89%,100%,100%,100%,84%
13,6,2,,,,1,,1,1
14,,,,,1,,,,
15,42%,33%,25%,43%,29%,58%,54%,63%,69%
16,32%,33%,25%,0,21%,24%,14%,29%,22%
17,26%,33%,50%,57%,50%,18%,32%,8%,9%
