,2021-2022,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
0,Atletico Madrid,Fiorentina,Fiorentina,Fiorentina,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid,Atletico Madrid
1,19.0,13.5,15.0,20.0,28.0,29.0,28.0,20.0,22.0,16.0
2,"€22,173.00","€20,904.00","€20,077.00","€69,231.00","€71,635.00","€86,308.00","€86,538.00","€86,538.00","€86,538.00","GROSS P/W
(IN EUR)"
3,28,26,31,29,12,32,27,18,22,33
4,,2,,2,,1,,,,1
5,,,,1,,,,2,,
6,,1109,,1262,,2727,,,,2953
7,1,,,1,,,1,,1,
8,24,32,35,34,2,23,15,11,15,20
9,11,9,12,10,9,16,16,9,11,17
10,100%,100%,100%,97%,83%,94%,96%,94%,100%,100%
11,2,,,3,19,6,5,5,3,1
12,74%,70%,82%,76%,32%,84%,71%,47%,58%,87%
13,12,5,4,5,1,6,6,4,6,13
14,,,,1,,1,,1,,
15,64%,58%,48%,48%,67%,63%,52%,61%,45%,73%
16,18%,15%,19%,21%,17%,19%,37%,28%,41%,21%
17,18%,27%,32%,31%,17%,19%,11%,11%,14%,6%
