,2020-2021,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
1,17.0,17.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0
2,89038,15846,13942,13385,23846,35250,64038,64038,89038
3,32,7,13,32,36,38,38,37,37
4,,,,2,4,4,,3,2
5,1,,,,,,,1,2
6,,,,1439,810,855,,1103,1626
7,,,,,,,1,,
8,44,10,24,45,38,63,59,44,40
9,10,1,2,6,11,7,10,10,10
10,100,71,85,100,100,100,100,100,100
11,1,2,2,4,,,,,
12,84,44,34,84,95,100,100,97,97
13,8,2,,8,3,2,3,4,3
14,1,,,1,,,,1,
15,59,14,23,34,44,34,29,46,62
16,9,14,38,31,33,18,26,22,16
17,31,71,38,34,22,47,45,32,22
