,2021-2022,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,20.0,17.0,16.0,11.833,11.833,11.833,23.0,21.0,22.0,14.722
2,27865.0,40173.0,48269.0,70481.0,71231.0,106923.0,37885.0,53462.0,53462.0,53462.0
3,20.0,27.0,16.0,17.0,22.0,25.0,12.0,22.0,9.0,29.0
4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,2.0,2.0,1.5,1.5,1.0,2.0,1.5,1.0,1.5,1.0
6,1169.0,0.0,0.0,0.0,0.0,0.0,968.0,0.0,0.0,0.0
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13.0,26.0,17.0,21.0,30.0,32.0,1.0,12.0,3.0,21.0
9,6.0,8.0,4.0,1.0,4.0,8.0,11.0,10.0,4.0,9.0
10,65.0,93.0,94.0,94.0,95.0,92.0,83.0,86.0,67.0,48.0
11,14.0,3.0,1.0,4.0,17.0,5.0,13.0,13.0,14.0,15.0
12,2.0,2.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0,4.0
13,2.0,2.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0,4.0
14,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
15,45.0,56.0,38.0,24.0,36.0,48.0,75.0,77.0,89.0,66.0
16,30.0,30.0,31.0,47.0,23.0,20.0,25.0,9.0,0.0,17.0
17,25.0,15.0,31.0,29.0,41.0,32.0,0.0,14.0,11.0,17.0
