,2020-2021,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
1,26.0,6.0,25.0,21.0,24.0,20.0,19.0,19.0,31.0
2,206462,206462,146519,174019,350827,354173,310385,285882,285882
3,26,34,30,35,32,36,32,21,14
4,10,29,16,18,19,35,28,18,4
5,3,3,3,1,5,4,6,4,1
6,138,103,144,146,122,85,92,93,152
7,,,,,,,,,
8,17,34,16,22,12,27,21,15,9
9,9,11,16,12,18,19,14,10,7
10,50,97,83,86,75,97,94,95,50
11,13,1,5,6,10,2,2,3,9
12,74,89,79,92,84,95,84,55,52
13,4,6,2,3,2,5,3,1,2
14,,,,1,,,,,
15,50,59,70,66,78,69,78,81,71
16,35,26,20,29,16,17,16,10,14
17,15,15,10,6,6,14,6,10,14
