,2019-2020,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021
1,36.0,26.0,27.0,28.0,29.0,22.0,29.0,20.0,27.0
2,394231,126615,228154,275154,284750,287481,384615,384615,384615
3,33,32,31,32,31,29,29,32,32
4,8,8,13,13,20,5,8,6,11
5,20,18,10,11,5,12,12,10,19
6,282,320,166,182,117,453,245,397,243
7,,1,,,,,,,
8,24,31,13,13,15,13,19,21,36
9,15,10,16,21,18,16,14,12,9
10,79,100,81,88,84,86,76,88,97
11,7,,6,5,8,6,8,6,1
12,97,94,91,94,91,85,85,94,94
13,5,,2,1,4,,4,1,
14,,,,,,,,,
15,76,72,87,75,81,72,79,69,75
16,12,16,6,13,13,24,10,19,16
17,12,13,6,13,6,3,10,13,9
