,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Sporting Lisbon,Sporting Lisbon,Sporting Lisbon,Atletico Madrid,Monaco,Monaco,Monaco
1,7.0,6.0,17.0,20.0,12.833,12.833,15.0
2,"€124,577.00","€124,577.00","€124,231.00","€101,346.00","€69,231.00","€69,231.00","€69,231.00"
3,29,32,31,16,21,23,32
4,4,6,8,4,4,3,4
5,,6,9,2,1,2,2
6,302,460,336,347,419,522,476
7,,,,,,,
8,7,33,17,19,33,24,17
9,16,12,16,5,5,9,10
10,34%,100%,97%,100%,95%,87%,75%
11,23,,1,,1,5,10
12,85%,94%,91%,100%,75%,61%,84%
13,3,6,4,1,3,3,4
14,,,1,,1,,
15,76%,63%,74%,31%,33%,57%,47%
16,17%,22%,19%,38%,24%,17%,25%
17,7%,16%,6%,31%,43%,26%,28%
