,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
1,25.0,4.0,4.0,4.0,15.0,10.0,9.0
2,78269.0,56981.0,56923.0,56923.0,78269.0,78269.0,78269.0
3,15.0,28.0,32.0,36.0,36.0,37.0,33.0
4,2.0,5.0,5.0,10.0,5.0,9.0,3.0
5,2.0,2.0,7.0,4.0,6.0,4.0,4.0
6,371.0,209.0,463.0,282.0,510.0,215.0,549.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,12.0,40.0,50.0,20.0,26.0,16.0
9,3.0,6.0,6.0,10.0,16.0,14.0,14.0
10,60.0,39.0,78.0,92.0,86.0,59.0,61.0
11,8.0,27.0,7.0,5.0,5.0,16.0,15.0
12,1.0,3.0,6.0,1.0,4.0,3.0,3.0
13,1.0,3.0,6.0,1.0,4.0,3.0,3.0
14,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,60.0,39.0,38.0,31.0,53.0,62.0,67.0
16,13.0,36.0,19.0,28.0,25.0,14.0,15.0
17,27.0,25.0,44.0,42.0,22.0,24.0,18.0
