,2019-2020,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
0,Tottenham,Tottenham,Tottenham,Tottenham,Tottenham,Tottenham,Tottenham,Tottenham,Tottenham
1,16.0,15.0,9.0,12.0,10.0,21.0,26.0,15.0,5.0
2,"€57,176.00",€572.00,"€11,435.00","€28,588.00","€28,588.00","€57,176.00","€57,176.00","€57,176.00","€23,269.00"
3,31,,,,21,16,26,15,19
4,,,,,1,,1,,
5,,,,,1,1,,,1
6,,,,,493,,1599,,
7,,,,,,,,,
8,31,,,,6,9,17,16,15
9,7,,,,7,6,10,3,5
10,84%,,,,14%,56%,65%,60%,47%
11,10,,1,5,24,12,11,21,26
12,82%,,0%,0%,55%,42%,68%,39%,50%
13,9,,,,,,4,4,2
14,,,,,,,,,
15,48%,,,,67%,63%,69%,47%,47%
16,26%,,,,19%,19%,0,27%,16%
17,26%,,,,14%,19%,31%,27%,37%
