,2020-2021,2021-2022
0,Groningen,Groningen
1,1.25,1.25
2,"€6,731.00",€0.00
3,30,32
4,9,14
5,5,2
6,256,167
7,,
8,24,41
9,12,4
10,93%,81%
11,2,6
12,88%,94%
13,1,5
14,,
15,47%,28%
16,23%,25%
17,30%,47%
