,2019-2020,2020-2021,2021-2022
1,25.0,35.0,15.0
2,115385,115385,115385
3,13,6,26
4,,,
5,,,
6,,,
7,,,
8,7,12,20
9,8,2,6
10,62,50,88
11,12,19,10
12,34,16,68
13,1,,5
14,,,1
15,85,50,58
16,0,17,27
17,15,33,15
