,2019-2020,2020-2021,2021-2022
1,17.0,26.0,30.0
2,180385,180385,180385
3,15,14,34
4,,1,1
5,,,2
6,,1133,3030
7,,,
8,9,7,30
9,7,6,13
10,67,93,100
11,28,14,2
12,39,37,89
13,3,3,4
14,,1,
15,73,64,65
16,13,21,24
17,13,14,12
