,2016-2017,2019-2020,2020-2021,2021-2022
0,Athletic Club,Athletic Club,Athletic Club,Athletic Club
1,9.0,10.0,10.0,10.0
2,"€10,000.00","€34,038.00","€34,038.00","€34,038.00"
3,6,19,35,19
4,,3,4,2
5,,,2,
6,,177,398,231
7,,,,
8,5,9,15,8
9,3,4,9,8
10,83%,26%,46%,16%
11,1,16,20,19
12,100%,29%,350%,50%
13,,,1,
14,,,,
15,17%,26%,31%,42%
16,33%,32%,31%,26%
17,50%,42%,37%,32%
