,2021-2022,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
0,Liverpool,Southampton,Southampton,Liverpool,Liverpool,Liverpool,Liverpool
1,33.0,1.5,6.0,30.0,29.0,18.0,24.0
2,"£220,000.00","£180,000.00","£180,000.00","£180,000.00","£220,000.00","GROSS P/W
(IN GBP)","£220,000.00"
3,34,34,21,14,38,38,5
4,3,3,1,,4,5,1
5,1,,,,2,1,
6,1020,1020,1853,,846,684,370
7,,,,,,,
8,21,36,23,10,22,33,11
9,21,10,8,7,21,15,1
10,100%,100%,100%,100%,100%,100%,100%
11,1,,,1,,,
12,89%,100%,55%,82%,100%,100%,13%
13,3,2,4,1,1,1,1
14,,,1,,,,
15,74%,50%,33%,50%,79%,84%,60%
16,21%,21%,29%,29%,18%,8%,20%
17,6%,29%,38%,21%,3%,8%,20%
