,2018-2019,2019-2020,2020-2021,2021-2022
0,Real Madrid,Real Madrid,Real Madrid,Real Madrid
1,19.0,17.0,26.0,30.0
2,"€400,577.00","€400,577.00","€400,577.00","€400,577.00"
3,18,29,35,35
4,2,3,3,17
5,,1,3,10
6,435,455,657,158
7,,,,
8,13,14,17,22
9,5,14,16,15
10,50%,41%,63%,86%
11,12,22,15,5
12,56%,76%,92%,92%
13,,4,3,6
14,,,,
15,50%,66%,66%,71%
16,11%,24%,23%,20%
17,39%,10%,11%,9%
