,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad
1,6.5,6.5,9.0,6.5,6.5,8.0,9.0
2,"€8,827.00","€11,904.00","€39,423.00","€65,769.00","€65,769.00","€65,769.00","€65,769.00"
3,1,4,24,33,33,24,27
4,,,1,,,1,
5,,,2,1,1,1,1
6,,,1582,,,1959,
7,,,,,,,
8,,4,29,37,39,26,25
9,1,,7,9,7,8,11
10,,75%,67%,88%,88%,88%,70%
11,3,6,19,6,8,6,14
12,3%,11%,63%,87%,50%,240%,71%
13,,1,3,7,9,5,8
14,,,1,,,,
15,100%,0,29%,36%,45%,33%,41%
16,0,75%,17%,30%,21%,33%,30%
17,0,25%,54%,33%,33%,33%,30%
