,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
1,24.0,16.0,17.0,11.0,20.0,19.0,19.0,31.0,19.0
2,143221.0,49292.0,94725.0,94725.0,94725.0,95858.0,141391.0,142723.0,143221.0
3,24.0,26.0,15.0,21.0,17.0,30.0,31.0,11.0,18.0
4,4.0,2.0,2.0,5.0,4.0,4.0,3.0,0.0,2.0
5,2.0,6.0,1.0,5.0,1.0,5.0,8.0,4.0,1.0
6,267.0,1073.0,387.0,303.0,254.0,426.0,655.0,0.0,274.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6.0,32.0,13.0,27.0,7.0,18.0,26.0,10.0,5.0
9,12.0,10.0,4.0,5.0,9.0,12.0,12.0,4.0,6.0
10,50.0,96.0,53.0,90.0,71.0,63.0,71.0,64.0,28.0
11,17.0,1.0,7.0,4.0,5.0,14.0,10.0,10.0,16.0
12,3.0,5.0,1.0,4.0,2.0,1.0,6.0,5.0,12.0
13,3.0,5.0,1.0,4.0,2.0,1.0,6.0,5.0,0.0
14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15,71.0,54.0,27.0,38.0,76.0,80.0,71.0,73.0,83.0
16,13.0,19.0,27.0,24.0,18.0,10.0,13.0,9.0,0.0
17,17.0,27.0,47.0,38.0,6.0,10.0,16.0,18.0,17.0
