,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Athletic Club,Athletic Club,Athletic Club,Athletic Club,Athletic Club,Athletic Club,Athletic Club
1,17.0,9.0,10.0,10.0,10.0,10.0,10.0
2,"€17,346.00","€16,808.00","€20,308.00","€13,654.00","€29,808.00","€29,808.00","€29,808.00"
3,20,25,32,4,13,17,25
4,1,2,,,,,
5,,1,1,,1,,2
6,1160,788,,,,,
7,,,,,,,
8,14,25,30,4,12,6,23
9,6,5,11,2,3,7,8
10,60%,68%,69%,50%,46%,29%,88%
11,19,16,16,3,25,30,11
12,53%,66%,84%,11%,20%,170%,66%
13,2,2,3,1,,1,3
14,,,,,,,
15,50%,44%,31%,75%,31%,41%,28%
16,25%,16%,38%,0,23%,35%,36%
17,25%,40%,31%,25%,46%,24%,36%
