,2020-2021,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
1,12.0,7.667,5.0,7.667,7.667,7.667,4.0,7.0,7.667
2,47654,47654,45788,55212,57154,5769,57692,60577,60577
3,31,33,33,34,33,34,34,33,30
4,,,,,,,,,
5,,,,,,,,1,
6,,,,,,,,,
7,,,,,,,,,
8,51,57,58,55,50,37,48,51,49
9,6,8,5,8,6,12,10,5,7
10,100,100,100,100,100,100,100,100,100
11,,,,,1,,,,
12,91,97,97,100,97,100,100,97,88
13,1,1,,,1,1,,,1
14,,,,,,,,,
15,32,36,27,35,27,47,44,36,43
16,26,21,27,24,30,41,29,36,23
17,42,42,45,41,42,12,26,27,33
